collision_id,crash_date,crash_time,on_street_name,cross_street_name,off_street_name,borough,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,longitude,latitude
4455765,2021-09-11,2:39,WHITESTONE EXPRESSWAY,20 AVENUE,,,,2,0,0,0,0,0,2,0,Aggressive Driving/Road Rage,,
4513547,2022-03-26,11:45,QUEENSBORO BRIDGE UPPER,,,,,1,0,0,0,0,0,1,0,Pavement Slippery,,
4541903,2022-06-29,6:55,THROGS NECK BRIDGE,,,,,0,0,0,0,0,0,0,0,Following Too Closely,,
4456314,2021-09-11,9:35,,,1211      LORING AVENUE,BROOKLYN,11208,0,0,0,0,0,0,0,0,Unspecified,-73.8665,40.667202
4486609,2021-12-14,8:13,SARATOGA AVENUE,DECATUR STREET,,BROOKLYN,11233,0,0,0,0,0,0,0,0,,-73.917274,40.683304
4407458,2021-04-14,12:47,MAJOR DEEGAN EXPRESSWAY RAMP,,,,,0,0,0,0,0,0,0,0,Unspecified,,
4486555,2021-12-14,17:05,BROOKLYN QUEENS EXPRESSWAY,,,,,0,0,0,0,0,0,0,0,Passing Too Closely,-73.956825,40.709183
4486660,2021-12-14,8:17,,,344       BAYCHESTER AVENUE,BRONX,10475,2,0,0,0,0,0,2,0,Unspecified,-73.83148,40.86816
4487074,2021-12-14,21:10,,,2047      PITKIN AVENUE,BROOKLYN,11207,0,0,0,0,0,0,0,0,Driver Inexperience,-73.8971,40.67172
4486519,2021-12-14,14:58,3 AVENUE,EAST 43 STREET,,MANHATTAN,10017,0,0,0,0,0,0,0,0,Passing Too Closely,-73.97397,40.75144
4486934,2021-12-13,0:34,MYRTLE AVENUE,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,-73.88887,40.701275
4487127,2021-12-14,16:50,SPRINGFIELD BOULEVARD,EAST GATE PLAZA,,QUEENS,11413,0,0,0,0,0,0,0,0,Turning Improperly,-73.75577,40.675884
4486634,2021-12-14,8:30,broadway,west 80 street -west 81 street,,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,,
4486564,2021-12-14,0:59,BELT PARKWAY,,,,,0,0,0,0,0,0,0,0,Unsafe Speed,-74.00231,40.59662
4486635,2021-12-14,23:10,NORTH CONDUIT AVENUE,150 STREET,,QUEENS,11434,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,-73.78941,40.66684
4486604,2021-12-14,17:58,,,480       DEAN STREET,BROOKLYN,11217,0,0,0,0,0,0,0,0,Passing Too Closely,-73.97463,40.68158
4486991,2021-12-14,20:03,,,878       FLATBUSH AVENUE,BROOKLYN,11226,4,0,0,0,0,0,4,0,Steering Failure,-73.95881,40.65068
4486284,2021-12-14,1:28,MEEKER AVENUE,LORIMER STREET,,,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,,
4487040,2021-12-11,19:43,WEST KINGSBRIDGE ROAD,HEATH AVENUE,,BRONX,10463,1,0,0,0,0,0,1,0,Unspecified,-73.904686,40.87262
4486537,2021-12-14,14:30,WHITESTONE EXPRESSWAY,,,,,0,0,0,0,0,0,0,0,Following Too Closely,-73.82485,40.783268
4486905,2021-12-11,4:45,,,232       WEST 30 STREET,MANHATTAN,10001,0,0,0,0,0,0,0,0,Following Too Closely,-73.993546,40.748917
4487122,2021-12-14,5:46,LONG ISLAND EXPRESSWAY,,,,,1,0,0,0,0,0,1,0,Other Vehicular,-73.77041,40.744644
4486967,2021-12-13,6:30,82 STREET,34 AVENUE,,QUEENS,11372,0,0,0,0,0,0,0,0,Unspecified,-73.88505,40.75373
4486304,2021-12-14,3:43,LEXINGTON AVENUE,,,,,1,0,1,0,0,0,0,0,Unspecified,-73.93742,40.804375
4487001,2021-12-13,17:40,VICTORY BOULEVARD,WOODSTOCK AVENUE,,STATEN ISLAND,10301,1,0,0,0,0,0,1,0,Unspecified,-74.08762,40.63165
4486516,2021-12-14,17:31,EAST 18 STREET,AVENUE K,,BROOKLYN,11230,1,0,1,0,0,0,0,0,Unspecified,-73.95809,40.623104
4486605,2021-12-14,20:13,,,366       12 STREET,BROOKLYN,11215,0,0,0,0,0,0,0,0,Passing Too Closely,-73.9845,40.66576
