collision_id,crash_date,crash_time,street_name,borough,county,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle
4455765,2021-09-11,2:39,Whitestone Expressway & 20 Avenue,Queens,Queens County,11356,40.7127281,-74.0060152,2,0,0,0,0,0,2,0,Aggressive Driving/Road Rage
4513547,2022-03-26,11:45,Queensboro Bridge Upper,Manhattan,Queens County,10044,40.746402,-73.940191,1,0,0,0,0,0,1,0,Pavement Slippery
4541903,2022-06-29,6:55,Throgs Neck Bridge,Bronx,Bronx County,10465,40.8164164,-73.7986156,0,0,0,0,0,0,0,0,Following Too Closely
4456314,2021-09-11,9:35,1211      Loring Avenue,Brooklyn,Kings County,11208,40.667202,-73.8665,0,0,0,0,0,0,0,0,Unspecified
4486609,2021-12-14,8:13,Saratoga Avenue & Decatur Street,Brooklyn,Kings County,11233,40.683304,-73.917274,0,0,0,0,0,0,0,0,
4407458,2021-04-14,12:47,Major Deegan Expressway Ramp,Bronx,Bronx County,10451,40.81166,-73.931423,0,0,0,0,0,0,0,0,Unspecified
4486555,2021-12-14,17:05,Brooklyn Queens Expressway,Brooklyn,Kings County,11104,40.709183,-73.956825,0,0,0,0,0,0,0,0,Passing Too Closely
4486660,2021-12-14,8:17,344       Baychester Avenue,Bronx,Bronx County,10475,40.86816,-73.83148,2,0,0,0,0,0,2,0,Unspecified
4487074,2021-12-14,21:10,2047      Pitkin Avenue,Brooklyn,Kings County,11207,40.67172,-73.8971,0,0,0,0,0,0,0,0,Driver Inexperience
4486519,2021-12-14,14:58,3 Avenue & East 43 Street,Manhattan,Kings County,10017,40.75144,-73.97397,0,0,0,0,0,0,0,0,Passing Too Closely
4486934,2021-12-13,0:34,Myrtle Avenue,Queens,Queens County,11237,40.701275,-73.88887,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper
4487127,2021-12-14,16:50,Springfield Boulevard & East Gate Plaza,Queens,Kings County,11413,40.675884,-73.75577,0,0,0,0,0,0,0,0,Turning Improperly
4486634,2021-12-14,8:30,Broadway & West 80 Street -West 81 Street,Manhattan,New York County,10024,40.7127281,-74.0060152,0,0,0,0,0,0,0,0,Unsafe Lane Changing
4486564,2021-12-14,0:59,Belt Parkway,Brooklyn,Kings County,11229,40.59662,-74.00231,0,0,0,0,0,0,0,0,Unsafe Speed
4486635,2021-12-14,23:10,North Conduit Avenue & 150 Street,Queens,Queens County,11434,40.66684,-73.78941,2,0,0,0,0,0,2,0,Reaction To Uninvolved Vehicle
4486604,2021-12-14,17:58,480       Dean Street,Brooklyn,Kings County,11217,40.68158,-73.97463,0,0,0,0,0,0,0,0,Passing Too Closely
4486991,2021-12-14,20:03,878       Flatbush Avenue,Brooklyn,Kings County,11226,40.65068,-73.95881,4,0,0,0,0,0,4,0,Steering Failure
4486284,2021-12-14,1:28,Meeker Avenue & Lorimer Street,Brooklyn,Kings County,11211,40.7127281,-74.0060152,3,0,0,0,0,0,3,0,Traffic Control Disregarded
4487040,2021-12-11,19:43,West Kingsbridge Road & Heath Avenue,Bronx,Bronx County,10463,40.87262,-73.904686,1,0,0,0,0,0,1,0,Unspecified
4486537,2021-12-14,14:30,Whitestone Expressway,Queens,Queens County,11357,40.783268,-73.82485,0,0,0,0,0,0,0,0,Following Too Closely
4486905,2021-12-11,4:45,232       West 30 Street,Manhattan,New York County,10001,40.748917,-73.993546,0,0,0,0,0,0,0,0,Following Too Closely
4487122,2021-12-14,5:46,Long Island Expressway,Queens,Queens County,11364,40.744644,-73.77041,1,0,0,0,0,0,1,0,Other Vehicular
4486967,2021-12-13,6:30,82 Street & 34 Avenue,Queens,Queens County,11372,40.75373,-73.88505,0,0,0,0,0,0,0,0,Unspecified
4486304,2021-12-14,3:43,Lexington Avenue,Manhattan,New York County,10037,40.804375,-73.93742,1,0,1,0,0,0,0,0,Unspecified
4487001,2021-12-13,17:40,Victory Boulevard & Woodstock Avenue,Staten Island,Richmond County,10301,40.63165,-74.08762,1,0,0,0,0,0,1,0,Unspecified
4486516,2021-12-14,17:31,East 18 Street & Avenue K,Brooklyn,Kings County,11230,40.623104,-73.95809,1,0,1,0,0,0,0,0,Unspecified
4486605,2021-12-14,20:13,366       12 Street,Brooklyn,Kings County,11215,40.66576,-73.9845,0,0,0,0,0,0,0,0,Passing Too Closely
4487052,2021-12-14,12:54,Fulton Street & Saint Felix Street,Brooklyn,Kings County,11217,40.687534,-73.9775,1,0,0,0,1,0,0,0,Unspecified
4486556,2021-12-14,17:15,Grand Street & Union Avenue,Brooklyn,Kings County,11211,40.710957,-73.951126,1,0,0,0,0,0,1,0,Passing Or Lane Usage Improper
4486875,2021-12-14,22:49,713       Eagle Avenue,Bronx,Bronx County,10455,40.81813,-73.910126,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4486933,2021-12-12,9:00,59-14     67 Avenue,Queens,Queens County,11385,40.70447,-73.90148,0,0,0,0,0,0,0,0,Passing Too Closely
4486581,2021-12-14,16:25,East 93 Street,Manhattan,New York County,10128,40.784615,-73.953964,1,0,0,0,1,0,0,0,Driver Inattention/Distraction
4407520,2021-04-14,14:30,Eastchester Road & Pelham Parkway North,Bronx,Bronx County,10461,40.8572477,-73.8440597,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4486960,2021-12-16,6:59,Kingsland Avenue & Meeker Avenue,Brooklyn,Kings County,11222,40.7224806,-73.9409335,1,0,1,0,0,0,0,0,Traffic Control Disregarded
4542336,2022-06-29,16:00,Williamsburg Bridge Outer Roadwa,Brooklyn,Kings County,11211,40.710185,-73.958669,1,0,0,0,0,0,1,0,Driver Inattention/Distraction
4407665,2021-04-15,16:15,Hutchinson River Parkway,Bronx,Bronx County,10461,40.8576403,-73.8311141,0,0,0,0,0,0,0,0,Pavement Slippery
4456591,2021-07-07,11:42,Throgs Neck Bridge,Bronx,Bronx County,10465,40.8164164,-73.7986156,1,0,0,0,0,0,1,0,Unsafe Lane Changing
4545699,2022-07-12,17:50,44        Empire Boulevard,Brooklyn,Kings County,11225,40.663303,-73.96049,0,0,0,0,0,0,0,0,Oversized Vehicle
4512922,2022-03-23,10:00,71        East Drive,Staten Island,Richmond County,10314,40.588008,-74.162155,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
4456659,2021-07-09,0:43,Eliot Avenue,Queens,Queens County,11374,40.720535,-73.88885,0,1,0,1,0,0,0,0,Unspecified
4521660,2022-04-24,16:45,Staten Island Expressway,Staten Island,Richmond County,10305,40.607685,-74.13892,1,0,0,0,0,0,1,0,Driver Inattention/Distraction
4521759,2022-04-24,4:49,Boston Road & Bronx Park East,Bronx,Kings County,10462,40.855972,-73.869896,0,0,0,0,0,0,0,0,Unspecified
4522226,2022-04-22,17:17,East 107 Street,Manhattan,New York County,11203,40.790276,-73.9396,1,0,1,0,0,0,0,0,Traffic Control Disregarded
4522015,2022-04-24,1:30,5610      4 Avenue,Brooklyn,Kings County,11220,40.642986,-74.01621,0,0,0,0,0,0,0,0,Unspecified
4521460,2022-04-24,6:00,116-44    234 Street,Queens,Queens County,11411,0.0,0.0,0,0,0,0,0,0,0,0,Unsafe Lane Changing
4522156,2022-04-24,21:40,Boscobel Place & University Avenue,Bronx,Kings County,10452,40.843906,-73.92413,0,0,0,0,0,0,0,0,Alcohol Involvement
4521633,2022-04-24,17:45,Bronx River Parkway & East 233 Street,Bronx,Kings County,10466,40.89481,-73.86183,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4522124,2022-04-15,6:11,East 162 Street,Bronx,Bronx County,11203,40.8249578,-73.9139615,1,0,0,0,0,0,0,0,Driver Inattention/Distraction
4521937,2022-04-24,9:51,Cross Bronx Expy,Bronx,New York County,10040,40.85169,-73.95238,0,0,0,0,0,0,0,0,Unspecified
4521801,2022-04-24,0:00,Major Deegan Expressway & West Fordham Road,Bronx,Kings County,10453,40.861862,-73.91275,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4522285,2022-03-08,20:00,360       Snediker Avenue,Brooklyn,Kings County,11207,40.666256,-73.900215,0,0,0,0,0,0,0,0,Unspecified
4521853,2022-04-24,15:35,West 56 Street & 9 Avenue,Manhattan,New York County,10019,40.767242,-73.986206,1,0,0,0,1,0,0,0,View Obstructed/Limited
4522228,2022-04-22,12:00,Avenue J & Ocean Parkway,Brooklyn,Kings County,11230,40.62417,-73.97048,1,0,0,0,0,0,1,0,Unspecified
4521702,2022-04-24,13:10,Saint Marks Avenue & 6 Avenue,Brooklyn,New York County,10003,40.679955,-73.97491,0,0,0,0,0,0,0,0,Turning Improperly
4522167,2022-04-24,4:20,Throop Avenue & De Kalb Avenue,Brooklyn,Kings County,11221,40.692356,-73.94282,1,0,0,0,0,0,1,0,Traffic Control Disregarded
4522196,2022-04-20,19:37,Henry Hudson Parkway,Manhattan,New York County,10034,40.78291,-73.98578,0,0,0,0,0,0,0,0,Driver Inexperience
4521758,2022-04-24,16:14,Rockaway Avenue,Brooklyn,Kings County,11236,40.67308,-73.91124,0,0,0,0,0,0,0,0,Unspecified
4522136,2022-04-12,19:56,Utica Avenue & Snyder Avenue,Brooklyn,Kings County,11203,40.65011,-73.930214,1,0,1,0,0,0,0,0,Failure To Yield Right-Of-Way
4521469,2022-04-24,0:30,Belt Parkway,Brooklyn,Kings County,11229,40.638382,-74.03668,1,0,0,0,0,0,1,0,Driver Inattention/Distraction
4521859,2022-04-24,20:13,102-24    Vanwyck Expressway,Queens,Queens County,11419,40.69261,-73.81143,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage
4521590,2022-04-24,15:21,Thomson Avenue & Skillman Avenue,Queens,Queens County,11101,40.745235,-73.937706,1,0,0,0,0,0,1,0,Driver Inattention/Distraction
4521902,2022-04-24,10:27,Vanwyck Expressway & 109 Avenue,Queens,Queens County,11435,40.7127281,-74.0060152,1,0,0,0,0,0,1,0,Traffic Control Disregarded
4521684,2022-04-24,21:00,21 Street & 37 Avenue,Queens,Queens County,11106,40.758705,-73.93793,1,0,0,0,0,0,1,0,Driver Inattention/Distraction
4521858,2022-04-24,21:40,Jamaica Avenue & 102 Street,Queens,Queens County,11418,40.695156,-73.845406,0,0,0,0,0,0,0,0,Reaction To Uninvolved Vehicle
4522242,2022-04-07,14:14,1 Avenue & East 41 Street,Manhattan,New York County,10017,40.748158,-73.97033,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4456672,2021-06-29,17:35,Beach Channel Drive,Queens,Queens County,11693,40.609535,-73.75372,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper
4485150,2021-12-09,20:20,East 7 Street & Crawford Avenue,Brooklyn,Kings County,11223,40.59207,-73.96299,1,0,0,0,1,0,0,0,Driver Inattention/Distraction
4485116,2021-12-09,14:50,West 177 Street,Bronx,New York County,10024,40.850018,-73.9107,0,0,0,0,0,0,0,0,Unspecified
4485026,2021-12-09,2:45,149 Avenue & Huxley Street,Queens,Queens County,11422,40.653023,-73.73895,1,0,0,0,0,0,1,0,Alcohol Involvement
4485528,2021-12-06,22:16,Avenue J,Brooklyn,Kings County,11234,40.62573,-73.9564,0,0,0,0,0,0,0,0,Unsafe Speed
4485333,2021-12-04,12:00,Crown Street & Schenectady Avenue,Brooklyn,Kings County,11213,40.665375,-73.934235,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4485234,2021-12-08,16:20,East End Avenue & East 88 Street,Manhattan,New York County,10128,40.776237,-73.943825,0,0,0,0,0,0,0,0,Failure To Yield Right-Of-Way
4485355,2021-12-09,23:15,12 Avenue & 41 Street,Brooklyn,Kings County,11218,40.640835,-73.98967,1,0,0,0,1,0,0,0,Driver Inattention/Distraction
4485581,2021-12-01,14:34,437       Beach 68 Street,Queens,Queens County,11692,40.593636,-73.797264,0,0,0,0,0,0,0,0,Unsafe Speed
4485866,2021-12-10,7:00,122-42    134 Street,Queens,Queens County,11420,40.674263,-73.80453,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper
4485192,2021-12-07,9:20,Taylor Street,Staten Island,Richmond County,11211,40.70476,-73.96491,0,0,0,0,0,0,0,0,Steering Failure
4485214,2021-12-09,8:00,West Shore Expressway,Staten Island,Richmond County,10311,40.569626,-74.190735,0,0,0,0,0,0,0,0,Following Too Closely
4485437,2021-12-07,17:08,Flushing Avenue & Kent Avenue,Brooklyn,Kings County,11205,40.698463,-73.960205,0,0,0,0,0,0,0,0,Following Too Closely
4485408,2021-12-05,8:20,393       Rockaway Parkway,Brooklyn,Kings County,11212,40.658413,-73.9171,0,0,0,0,0,0,0,0,Unspecified
4484852,2021-12-08,19:30,127       East 58 Street,Manhattan,New York County,10022,40.76175,-73.96899,1,0,0,0,1,0,0,0,Following Too Closely
4485542,2021-12-08,12:00,44        West 14 Street,Manhattan,New York County,10011,40.736614,-73.9951,1,0,0,0,1,0,0,0,Passing Or Lane Usage Improper
4485170,2021-12-10,8:06,Flatbush Avenue & Grand Army Plaza,Brooklyn,Kings County,11238,40.6722889,-73.9690022,0,0,0,0,0,0,0,0,Unsafe Lane Changing
4485523,2021-12-08,19:30,Ocean Parkway,Brooklyn,Kings County,11224,40.6447512,-73.9744601,4,0,0,0,0,0,4,0,Unsafe Speed
4484906,2021-12-08,22:37,288       Manor Road,Staten Island,Richmond County,10314,40.62121,-74.12385,0,0,0,0,0,0,0,0,Pavement Slippery
4485036,2021-12-08,17:56,Major Deegan Expressway,Bronx,Bronx County,10453,40.873737,-73.90593,0,0,0,0,0,0,0,0,Unspecified
4485772,2021-12-07,7:50,Carroll Street,Brooklyn,Kings County,11215,40.66718,-73.95076,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4485565,2021-12-08,0:44,23 Street & 40 Avenue,Queens,Queens County,11101,40.754295,-73.93946,0,0,0,0,0,0,0,0,View Obstructed/Limited
4484836,2021-12-08,15:00,Avenue Y,Brooklyn,Kings County,11234,40.588116,-73.97261,0,0,0,0,0,0,0,0,Passing Too Closely
4485340,2021-12-10,11:00,2123      Lurting Avenue,Bronx,Bronx County,10461,40.854935,-73.85822,0,0,0,0,0,0,0,0,Oversized Vehicle
4485706,2021-12-10,1:10,Schenectady Avenue,Brooklyn,Kings County,11203,40.662575,-73.93448,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4485384,2021-12-09,0:00,47 Road,Queens,Kings County,11225,40.7448,-73.953415,1,0,1,0,0,0,0,0,Unspecified
4484799,2021-12-08,18:36,Henry Hudson Parkway,Manhattan,New York County,10034,40.79672,-73.97618,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper
4485077,2021-12-09,20:30,269-01    76 Avenue,Queens,Queens County,11004,40.752777,-73.70743,0,0,0,0,0,0,0,0,Illnes
4485090,2021-12-09,10:13,Kings Highway & Farragut Road,Brooklyn,Kings County,11203,40.638523,-73.92607,2,0,0,0,0,0,2,0,Traffic Control Disregarded
4513697,2022-03-26,14:00,Corson Avenue & Westervelt Avenue,Staten Island,Richmond County,10301,40.637833,-74.08193,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4513935,2022-03-26,1:02,West 101 Street & Broadway,Manhattan,Kings County,10025,40.797836,-73.96946,1,0,0,0,0,0,1,0,Traffic Control Disregarded
4513794,2022-03-26,16:02,Queens Boulevard & 57 Avenue,Queens,Queens County,11373,40.734375,-73.87342,1,0,0,0,0,0,1,0,Lost Consciousness
4514267,2022-03-26,16:05,115 Avenue & 221 Street,Queens,Queens County,11411,40.699947,-73.736626,1,0,0,0,0,0,1,0,Following Too Closely
4514237,2022-03-21,12:05,515       West 36 Street,Manhattan,New York County,10018,40.75632,-73.999275,1,0,0,0,0,0,1,0,Following Too Closely
4513470,2022-03-26,5:13,131 Street & Atlantic Avenue,Queens,Queens County,11418,40.69614,-73.81789,0,0,0,0,0,0,0,0,Failure To Yield Right-Of-Way
4513751,2022-03-26,17:42,935       East 58 Street,Brooklyn,Kings County,11234,40.631687,-73.9205,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4514075,2022-03-26,12:18,Laconia Avenue & East 231 Street,Bronx,Bronx County,10466,40.88839,-73.84666,2,0,0,0,0,0,2,0,Failure To Yield Right-Of-Way
4513857,2022-03-26,20:10,1706      Holland Avenue,Bronx,Bronx County,10462,40.844425,-73.8639,0,0,0,0,0,0,0,0,Unspecified
4514202,2022-03-26,15:45,White Plains Road & Cross Bronx Expressway,Bronx,Kings County,10472,40.833965,-73.8629,2,0,0,0,0,0,2,0,Alcohol Involvement
4514347,2022-03-26,17:55,Manhattan Avenue & Boerum Street,Brooklyn,Kings County,11206,40.705738,-73.944695,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
