name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York, NY",2021-02-26,45,35,40.1,41.1,30.8,35.6,20.8,46.4,0,0,0,,0,0.3,35.6,9.1,209.7,1030.3,1.2,9.9,171.3,14.9,7,,2021-02-26T06:34:03,2021-02-26T17:44:15,0.48,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York, NY",2021-02-27,50,39.8,44.1,50,33.8,40.3,39.2,83.3,0.164,100,33.33,rain,0,0.2,23.1,14.6,320.1,1022.3,74,7.9,39.2,3.5,2,,2021-02-27T06:32:33,2021-02-27T17:45:24,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York, NY",2021-02-28,44,41.1,42.4,43.1,35.5,38,36,78.2,0.078,100,37.5,rain,0,0.1,31.1,15.7,44.1,1022.9,55.8,8.6,36.9,3.3,2,,2021-02-28T06:31:02,2021-02-28T17:46:33,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York, NY",2021-03-01,47.9,35.9,42.4,46.4,32,38.7,33.5,74.5,0.096,100,29.17,rain,0,0.1,37.6,12.5,311.1,1006.9,83.7,7.2,49.8,4.3,2,,2021-03-01T06:29:30,2021-03-01T17:47:41,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York, NY",2021-03-02,37.7,22.9,30.9,34,16.1,25.2,7.1,36.9,0,0,0,,0,0,37.3,11.7,284.4,1020.2,5,9.9,209.2,18.1,7,,2021-03-02T06:27:58,2021-03-02T17:48:49,0.62,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York, NY",2021-03-03,52,32.1,41.7,52,24.2,37.3,21.6,45.2,0,0,0,,0,0,21.9,12.6,256.4,1013.1,13.8,9.9,203,17.6,7,,2021-03-03T06:26:25,2021-03-03T17:49:57,0.65,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York, NY",2021-03-04,45.9,29.8,40.2,44.9,25.2,37.2,21.3,47.4,0,0,0,,0,0,38,8.6,290.1,1010.7,46.8,9.9,130.8,11.2,7,,2021-03-04T06:24:51,2021-03-04T17:51:05,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York, NY",2021-03-05,40.7,25,32.7,36.9,18.5,28.5,8.1,36.9,0,0,0,,0,0,43.6,7.5,294.8,1012.4,4.2,9.9,218.2,18.9,8,,2021-03-05T06:23:17,2021-03-05T17:52:12,0.75,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York, NY",2021-03-06,37.7,29.9,33.8,34.6,23,28.9,14.8,45.6,0,0,0,,0,0,27.1,10.3,287.1,1018.6,71.5,9.9,121.4,10.4,4,,2021-03-06T06:21:42,2021-03-06T17:53:19,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY",2021-03-07,44.7,29.9,35.6,43.2,23.9,31.7,15.3,43.8,0,0,0,,0,0,23,10.2,282.7,1026.6,29.5,9.9,217,18.8,8,,2021-03-07T06:20:06,2021-03-07T17:54:25,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
