datetime,tempmax,tempmin,temp,humidity,precip,preciptype,snow,windspeed,visibility,severerisk,sunrise,sunset,icon,temperature_category,precip_category,humid_category,wind_level,vis_level
2022-01-01,56.3,50.0,52.8,91.6,0.727,1,0,8.1,5.4,0.0,07:20,16:39,rain,Moderate,Heavy,Very High,Flags wave,Poor
2022-01-02,58.5,38.5,50.3,83.8,0.092,1,0,14.2,7.3,0.0,07:20,16:40,rain,Moderate,Light,Very High,Leaves scatter,Moderate
2022-01-03,37.9,23.5,30.1,49.9,0.0,0,0,16.2,9.9,0.0,07:20,16:41,cloudy,Cold,Dry,Low,Leaves scatter,Good
2022-01-04,34.3,19.6,27.2,49.1,0.0,0,0,12.4,9.9,0.0,07:20,16:42,clear-day,Cold,Dry,Low,Leaves scatter,Good
2022-01-05,46.6,31.1,39.5,77.0,0.227,1,0,12.8,8.4,0.0,07:20,16:42,rain,Cold,Moderate,High,Leaves scatter,Moderate
2022-01-06,41.3,35.3,37.8,50.2,0.0,0,1,13.3,9.9,0.0,07:20,16:43,snow,Cold,Dry,High,Leaves scatter,Good
2022-01-07,34.6,26.6,30.4,65.9,0.367,1,1,14.9,6.2,0.0,07:20,16:44,snow,Cold,Heavy,High,Leaves scatter,Moderate
2022-01-08,29.8,20.8,26.1,44.1,0.0,0,0,14.9,9.9,0.0,07:20,16:45,clear-day,Cold,Dry,Low,Leaves scatter,Good
2022-01-09,39.8,29.3,35.9,66.8,0.108,1,0,13.9,9.2,0.0,07:19,16:46,rain,Cold,Moderate,High,Leaves scatter,Good
2022-01-10,40.5,25.6,30.7,47.0,0.0,0,0,20.9,9.9,10.0,07:19,16:47,cloudy,Cold,Dry,Low,Small trees sway,Good
2022-01-11,24.9,15.9,18.9,40.8,0.0,0,0,21.9,9.6,10.0,07:19,16:48,clear-day,Freezing Cold,Dry,Low,Small trees sway,Good
2022-01-12,39.8,20.0,31.6,46.2,0.0,0,0,13.9,9.9,10.0,07:19,16:50,clear-day,Cold,Dry,Low,Leaves scatter,Good
2022-01-13,47.1,35.3,39.9,59.3,0.0,0,0,7.2,9.7,10.0,07:18,16:51,cloudy,Cold,Dry,High,Flags wave,Good
2022-01-14,42.2,24.4,37.5,66.2,0.0,0,0,18.4,9.9,10.0,07:18,16:52,cloudy,Cold,Dry,High,Small trees sway,Good
2022-01-15,21.5,11.5,16.3,45.3,0.0,0,0,13.9,9.9,10.0,07:18,16:53,clear-day,Freezing Cold,Dry,Low,Leaves scatter,Good
2022-01-16,35.3,10.4,20.7,64.9,0.219,1,1,18.2,8.4,10.0,07:17,16:54,snow,Cold,Moderate,High,Small trees sway,Moderate
2022-01-17,44.3,34.6,38.5,75.8,1.042,1,0,21.7,7.7,10.0,07:17,16:55,rain,Cold,Heavy,High,Small trees sway,Moderate
2022-01-18,36.5,30.2,33.1,46.6,0.0,0,0,17.9,9.9,10.0,07:16,16:56,cloudy,Cold,Dry,Low,Leaves scatter,Good
2022-01-19,49.1,29.3,40.4,47.9,0.0,0,0,13.9,9.9,10.0,07:16,16:57,cloudy,Moderate,Dry,Low,Leaves scatter,Good
2022-01-20,45.5,24.4,35.7,61.3,0.241,1,1,13.9,7.8,10.0,07:15,16:59,snow,Cold,Moderate,High,Leaves scatter,Moderate
2022-01-21,23.0,14.3,18.6,42.7,0.0,0,0,13.6,9.9,10.0,07:14,17:00,cloudy,Freezing Cold,Dry,Low,Leaves scatter,Good
2022-01-22,29.3,14.0,22.1,47.1,0.0,0,0,11.2,9.9,10.0,07:14,17:01,clear-day,Cold,Dry,Low,Flags wave,Good
2022-01-23,36.5,24.7,30.3,45.4,0.021,1,0,12.8,9.0,10.0,07:13,17:02,rain,Cold,Light,Low,Leaves scatter,Moderate
2022-01-24,35.3,27.3,31.4,63.5,0.0,0,0,10.1,9.1,10.0,07:12,17:03,cloudy,Cold,Dry,High,Flags wave,Good
2022-01-25,42.4,30.5,37.3,56.2,0.0,0,0,12.3,9.1,10.0,07:12,17:05,cloudy,Cold,Dry,High,Leaves scatter,Good
2022-01-26,29.3,21.2,24.6,37.9,0.0,0,0,15.0,9.9,10.0,07:11,17:06,clear-day,Cold,Dry,Low,Leaves scatter,Good
2022-01-27,31.1,18.3,25.5,44.2,0.0,0,0,9.8,9.8,10.0,07:10,17:07,cloudy,Cold,Dry,Low,Flags wave,Good
2022-01-28,32.3,29.3,31.0,67.2,0.068,0,1,13.0,5.0,10.0,07:09,17:08,snow,Cold,Light,High,Leaves scatter,Poor
2022-01-29,29.3,13.7,19.4,69.2,0.625,0,1,18.5,3.7,10.0,07:08,17:10,snow,Freezing Cold,Heavy,High,Small trees sway,Poor
2022-01-30,26.1,12.8,19.0,45.5,0.0,0,1,18.5,9.9,10.0,07:07,17:11,snow,Freezing Cold,Dry,Low,Small trees sway,Good
2022-01-31,30.3,20.9,25.7,44.6,0.0,0,0,7.5,9.9,10.0,07:06,17:12,cloudy,Cold,Dry,Low,Flags wave,Good
2022-02-01,39.5,23.5,31.3,57.3,0.0,0,0,11.2,9.9,10.0,07:06,17:13,cloudy,Cold,Dry,High,Flags wave,Good
2022-02-02,46.9,34.0,39.4,81.9,0.0,0,0,8.9,8.7,10.0,07:05,17:15,cloudy,Cold,Dry,Very High,Flags wave,Moderate
2022-02-03,50.0,41.1,44.5,93.5,0.218,1,0,6.9,5.3,10.0,07:04,17:16,rain,Moderate,Moderate,Very High,Flags ripple,Poor
2022-02-04,55.2,29.8,41.3,89.9,0.469,1,1,12.4,7.9,10.0,07:02,17:17,snow,Moderate,Heavy,Very High,Leaves scatter,Moderate
2022-02-05,32.7,22.6,27.0,62.1,0.0,0,0,7.3,9.9,10.0,07:01,17:18,cloudy,Cold,Dry,High,Flags wave,Good
2022-02-06,34.7,19.8,27.0,60.1,0.0,0,0,10.1,9.9,10.0,07:00,17:19,clear-day,Cold,Dry,High,Flags wave,Good
2022-02-07,38.8,33.0,36.1,86.6,0.015,1,1,10.3,6.9,10.0,06:59,17:21,snow,Cold,Light,Very High,Flags wave,Moderate
2022-02-08,47.7,33.2,39.1,69.1,0.005,1,0,10.3,9.8,10.0,06:58,17:22,rain,Cold,Light,High,Flags wave,Good
2022-02-09,46.1,30.0,37.6,59.8,0.0,0,0,9.1,9.9,10.0,06:57,17:23,clear-day,Cold,Dry,High,Flags wave,Good
2022-02-10,53.6,38.8,45.3,55.9,0.0,0,0,21.8,9.9,10.0,06:56,17:24,cloudy,Moderate,Dry,High,Small trees sway,Good
2022-02-11,56.1,37.3,47.7,45.0,0.0,0,0,12.8,9.9,10.0,06:54,17:26,cloudy,Moderate,Dry,Low,Leaves scatter,Good
2022-02-12,57.0,44.0,51.9,41.7,0.0,0,0,18.4,9.9,10.0,06:53,17:27,clear-day,Moderate,Dry,Low,Small trees sway,Good
2022-02-13,43.0,28.8,34.3,75.4,0.046,1,1,10.2,6.1,10.0,06:52,17:28,snow,Cold,Light,High,Flags wave,Moderate
2022-02-14,30.4,19.8,24.6,48.5,0.0,0,0,10.6,9.9,10.0,06:51,17:29,clear-day,Cold,Dry,Low,Flags wave,Good
2022-02-15,33.8,19.0,25.9,45.8,0.009,1,1,12.4,9.9,10.0,06:49,17:30,snow,Cold,Light,Low,Leaves scatter,Good
2022-02-16,44.2,29.0,37.6,65.0,0.0,0,0,12.5,9.9,10.0,06:48,17:32,clear-day,Cold,Dry,High,Leaves scatter,Good
2022-02-17,64.0,48.0,55.6,66.4,0.131,1,0,14.9,9.9,10.0,06:47,17:33,rain,Moderate,Moderate,High,Leaves scatter,Good
2022-02-18,60.3,30.7,46.2,58.6,0.292,1,0,19.1,9.9,10.0,06:45,17:34,rain,Moderate,Moderate,High,Small trees sway,Good
2022-02-19,42.0,26.8,32.5,49.8,0.0,0,0,16.1,9.8,10.0,06:44,17:35,cloudy,Cold,Dry,Low,Leaves scatter,Good
2022-02-20,38.7,22.9,30.1,47.3,0.0,0,0,13.7,9.9,10.0,06:43,17:36,clear-day,Cold,Dry,Low,Leaves scatter,Good
2022-02-21,55.0,33.2,41.6,56.2,0.0,0,0,10.3,9.9,10.0,06:41,17:38,clear-day,Moderate,Dry,High,Flags wave,Good
2022-02-22,56.9,38.8,47.6,86.1,0.06,1,0,15.6,8.0,10.0,06:40,17:39,rain,Moderate,Light,Very High,Leaves scatter,Moderate
2022-02-23,66.9,38.8,56.9,66.5,0.0,0,0,14.0,9.9,10.0,06:38,17:40,cloudy,Moderate,Dry,High,Leaves scatter,Good
2022-02-24,37.0,31.8,33.8,46.3,0.0,0,0,12.4,9.9,10.0,06:37,17:41,cloudy,Cold,Dry,Low,Leaves scatter,Good
2022-02-25,43.0,28.9,35.0,76.4,0.432,1,1,16.9,7.9,10.0,06:35,17:42,snow,Cold,Heavy,High,Leaves scatter,Moderate
2022-02-26,38.8,25.9,31.8,52.2,0.0,0,0,12.5,9.9,10.0,06:34,17:43,clear-day,Cold,Dry,High,Leaves scatter,Good
2022-02-27,48.7,29.5,38.1,47.3,0.028,1,0,21.5,9.9,10.0,06:32,17:45,rain,Cold,Light,Low,Small trees sway,Good
2022-02-28,39.6,29.7,34.1,39.1,0.0,0,0,9.2,9.9,10.0,06:31,17:46,clear-day,Cold,Dry,Low,Flags wave,Good
2022-03-01,46.2,33.1,40.0,58.2,0.0,0,0,12.5,9.9,10.0,06:29,17:47,cloudy,Cold,Dry,High,Leaves scatter,Good
2022-03-02,53.8,41.0,46.2,55.0,0.0,0,0,10.1,9.9,10.0,06:28,17:48,cloudy,Moderate,Dry,High,Flags wave,Good
2022-03-03,44.7,26.3,40.3,46.5,0.02,1,0,14.0,9.9,10.0,06:26,17:49,rain,Moderate,Light,Low,Leaves scatter,Good
2022-03-04,39.6,22.9,31.2,42.2,0.0,0,0,10.3,9.9,10.0,06:25,17:50,clear-day,Cold,Dry,Low,Flags wave,Good
2022-03-05,46.0,33.2,39.3,51.7,0.0,0,0,10.2,9.9,10.0,06:23,17:51,clear-day,Cold,Dry,High,Flags wave,Good
2022-03-06,66.6,43.0,54.5,76.8,0.03,1,0,17.8,9.8,10.0,06:22,17:53,rain,Moderate,Light,High,Leaves scatter,Good
